status_type,year_born,gender,native_province,corruption_location,local_official,rankErin,sentence_details,economic_problem,corrupted_amount,sector,connections_with_tigers
Fly,1940-1949,Male,Shanghai,Hebei,No,7,Death sentence,Yes,NA,technology,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,10,Death sentence,Yes,NA,social service,No
Fly,1950-1959,Female,Guangdong,Guangdong,Yes,8,Death sentence,Yes,NA,social service,No
Fly,1970-1979,Male,Shandong,Shandong,Yes,5,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Male,Henan,Henan,Yes,8,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Female,Liaoning,Liaoning,Yes,9,Death sentence,Yes,NA,transport,No
Fly,1960-1969,Male,Shanxi,Shanxi,Yes,6,Death sentence,Yes,NA,social service,No
Fly,1960-1969,Male,Shanghai,Shanghai,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Male,Jiangsu,Jiangsu,Yes,9,Death sentence,Yes,NA,infrastructure,No
Fly,1950-1959,Female,Fujian,Fujian,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1980-1989,Male,Tianjin,Shanxi,No,9,NA,Yes,"0-1,000,000",transport,No
Fly,1950-1959,Male,Zhejiang,Zhejiang,Yes,7,NA,Yes,NA,social service,No
Fly,1940-1949,Male,Hunan,Zhejiang,No,10,NA,Yes,NA,real estate,No
Fly,1960-1969,Male,Guangdong,Guangdong,Yes,8,NA,Yes,NA,finance,No
Fly,1950-1959,Male,Ningxia,Ningxia,Yes,5,5-10 years imprisonment,Yes,"0-1,000,000",agriculture,No
Fly,1960-1969,Male,Tibet,Guangdong,No,6,NA,Yes,"0-1,000,000",technology,No
Fly,1960-1969,Male,Jilin,Jilin,Yes,7,NA,Yes,NA,mining,No
Fly,1950-1959,Male,Sichuan,Sichuan,Yes,9,NA,Yes,NA,finance,No
Fly,1960-1969,Male,Jiangsu,Sichuan,No,9,NA,Yes,NA,technology,No
Fly,1960-1969,Male,Zhejiang,Zhejiang,Yes,6,1-5 years imprisonment,Yes,NA,finance,No
Fly,1960-1969,Female,Yunnan,Yunnan,Yes,8,NA,Yes,NA,CEHS,No
Fly,1970-1979,Male,Henan,Beijing,No,7,NA,Yes,"0-1,000,000",CEHS,No
Fly,1960-1969,Male,Hunan,Hunan,Yes,8,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Hebei,Sichuan,No,6,NA,Yes,"0-1,000,000",CEHS,Yes
Tiger,1950-1959,Male,Jiangsu,Beijing,No,4,NA,Yes,"0-1,000,000",CEHS,Yes
Fly,1970-1979,Male,Guizhou,Guizhou,Yes,8,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Tianjin,Jiangxi,No,7,NA,Yes,NA,infrastructure,Yes
Tiger,1970-1979,Male,Jiangsu,Yunnan,No,5,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Liaoning,Liaoning,Yes,7,NA,Yes,NA,technology,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,7,NA,Yes,NA,finance,No
Fly,1960-1969,Male,Hebei,Hebei,Yes,7,NA,Yes,NA,real estate,No
Fly,1950-1959,Female,Fujian,Fujian,Yes,6,NA,Yes,"0-1,000,000",finance,No
Fly,1970-1979,Male,Jiangsu,Jiangsu,Yes,5,NA,Yes,NA,finance,No
Fly,1950-1969,Male,Heilongjiang,Gansu,No,6,NA,Yes,NA,mining,No
Fly,1960-1969,Male,Sichuan,Sichuan,Yes,6,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1970-1979,Male,Sichuan,Sichuan,Yes,5,NA,Yes,NA,social service,No
Fly,1960-1969,Female,Hebei,Hebei,Yes,6,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,8,NA,Yes,NA,finance,No
Fly,1960-1969,Male,Guangdong,Guangdong,Yes,6,NA,Yes,NA,finance,No
Fly,1960-1969,Male,Anhui,Anhui,Yes,6,NA,Yes,"0-1,000,000",CEHS,No
Fly,1960-1969,Male,Guangdong,Guangdong,Yes,8,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,9,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Anhui,Anhui,Yes,8,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Heilongjiang,Heilongjiang,Yes,6,NA,Yes,NA,finance,No
Fly,1960-1969,Male,Guangxi,Sichuan,No,6,15-20 years imprisonment,Yes,"0-1,000,000",technology,No
Fly,1960-1969,Male,Shaanxi,Shaanxi,Yes,9,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Guangdong,Guangdong,Yes,7,NA,Yes,NA,CEHS,No
Fly,1960-1969,Male,Hunan,Hunan,Yes,6,NA,Yes,"0-1,000,000",CEHS,No
Fly,1940-1949,Male,Shandong,Shandong,Yes,8,1-5 years imprisonment,Yes,NA,manufacturing,No
Fly,1970-1979,Male,Guangdong,Guangdong,Yes,5,5-10 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Female,Guangdong,Yunnan,No,5,NA,Yes,NA,real estate,No
Fly,1960-1969,Male,Hainan,Zhejiang,No,8,5-10 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Inner Mongolia,Guangdong,No,9,NA,Yes,"0-1,000,000",real estate,No
Fly,1960-1969,Male,Ningxia,Ningxia,Yes,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,7,1-5 years imprisonment,Yes,"0-1,000,000",CEHS,No
Fly,1970-1979,Male,Beijing,Xinjiang,No,9,NA,Yes,NA,social service,No
Tiger,1960-1969,Male,Inner Mongolia,Heilongjiang,No,4,10-15 years imprisonment,Yes,NA,social service,Yes
Fly,1960-1969,Male,Jiangxi,Jiangxi,Yes,8,NA,Yes,"0-1,000,000",technology,No
Fly,1960-1969,Male,Guizhou,Guizhou,Yes,8,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Chongqing,Chongqing,Yes,5,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Female,Yunnan,Yunnan,Yes,7,NA,Yes,"0-1,000,000",finance,No
Tiger,1980-1989,Male,Guangdong,Guangdong,Yes,4,NA,Yes,NA,social service,Yes
Fly,1950-1959,Male,Anhui,Hubei,No,6,NA,Yes,"0-1,000,000",social service,No
Tiger,1950-1959,Male,Heilongjiang,Beijing,No,4,10-15 years imprisonment,Yes,NA,technology,Yes
Fly,1960-1969,Male,Jiangsu,Jiangsu,Yes,8,10-15 years imprisonment,Yes,NA,technology,No
Fly,1950-1959,Male,Hainan,Hubei,No,6,10-15 years imprisonment,Yes,NA,CEHS,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Jiangxi,Beijing,No,8,NA,Yes,NA,CEHS,No
Fly,1960-1969,Male,Anhui,Anhui,Yes,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Female,Hebei,Beijing,No,5,NA,Yes,NA,mining,No
Fly,1980-1989,Male,Hunan,Shandong,No,6,NA,Yes,"0-1,000,000",agriculture,No
Fly,1960-1969,Male,Fujian,Fujian,Yes,6,NA,Yes,NA,finance,No
Fly,1950-1959,Male,Jiangsu,Beijing,No,6,10-15 years imprisonment,Yes,"0-1,000,000",transport,No
Fly,1960-1969,Male,Chongqing,Chongqing,Yes,9,NA,Yes,NA,social service,Yes
Fly,1960-1969,Male,Guangxi,Beijing,No,6,20 -25 years imprisonment,Yes,"0-1,000,000",technology,No
Fly,1950-1969,Male,Guizhou,Jiangxi,No,9,5-10 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Female,Hubei,Hubei,Yes,7,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Anhui,Anhui,Yes,6,5-10 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Sichuan,Sichuan,Yes,6,NA,Yes,NA,social service,No
Fly,1950-1959,Male,Guangdong,Guangxi,No,7,NA,Yes,NA,social service,No
Fly,1940-1949,Female,Xinjiang,Xinjiang,Yes,6,5-10 years imprisonment,Yes,"0-1,000,000",N/A,No
Fly,1970-1979,Female,Liaoning,Hubei,No,8,1-5 years imprisonment,Yes,"0-1,000,000",CEHS,No
Fly,1950-1959,Male,Hainan,Hainan,Yes,7,NA,Yes,"0-1,000,000",CEHS,No
Fly,1970-1979,Male,Anhui,Sichuan,No,5,10-15 years imprisonment,Yes,NA,energy,Yes
Fly,1980-1989,Male,Zhejiang,Hainan,No,8,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Heilongjiang,Henan,No,7,1-5 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Xinjiang,Xinjiang,Yes,10,10-15 years imprisonment,Yes,NA,CEHS,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,5,NA,Yes,"0-1,000,000",CEHS,No
Fly,1970-1979,Male,Zhejiang,Tianjin,No,9,10-15 years imprisonment,Yes,NA,social service,No
Fly,1970-1979,Female,Henan,Henan,Yes,9,NA,Yes,NA,finance,No
Fly,1970-1979,Male,Henan,Henan,Yes,9,10-15 years imprisonment,Yes,NA,social service,No
Fly,1980-1989,Male,Inner Mongolia,Shanghai,No,5,NA,Yes,NA,social service,No
Fly,1970-1979,Male,Shaanxi,Guangxi,No,6,10-15 years imprisonment,Yes,"0-1,000,000",technology,No
Fly,1960-1969,Male,Gansu,Gansu,Yes,7,NA,Yes,"0-1,000,000",social service,No
Fly,1980-1989,Male,Guangdong,Guangdong,Yes,9,10-15 years imprisonment,Yes,NA,social service,No
Tiger,1950-1959,Male,Jilin,Beijing,No,4,NA,Yes,"0-1,000,000",CEHS,No
Fly,1950-1959,Male,Chongqing,Tianjin,No,5,5-10 years imprisonment,Yes,"0-1,000,000",CEHS,No
Tiger,1950-1959,Male,Hebei,Beijing,No,4,5-10 years imprisonment,Yes,"0-1,000,000",technology,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,6,NA,Yes,"0-1,000,000",CEHS,No
Fly,1960-1969,Male,Shaanxi,Xinjiang,No,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hubei,Beijing,No,10,10-15 years imprisonment,Yes,NA,mining,Yes
Tiger,1960-1969,Male,Sichuan,Beijing,No,4,10-15 years imprisonment,Yes,NA,mining,Yes
Fly,1950-1959,Male,Sichuan,Beijing,No,7,NA,Yes,NA,mining,No
Fly,1960-1969,Male,Shaanxi,Shaanxi,Yes,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hunan,Hunan,Yes,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Chongqing,Chongqing,Yes,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Jiangsu,Hong Kong,No,7,NA,Yes,NA,mining,No
Fly,1950-1959,Male,Guangxi,Hunan,No,6,10-15 years imprisonment,Yes,NA,CEHS,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,5,10-15 years imprisonment,Yes,NA,CEHS,No
Fly,1950-1959,Male,Henan,Xinjiang,No,5,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hunan,Yunnan,No,6,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Tianjin,Tianjin,Yes,5,10-15 years imprisonment,Yes,NA,mining,No
Fly,1960-1969,Male,Henan,Shanxi,No,5,NA,Yes,"0-1,000,000",technology,No
Fly,1980-1989,Male,Hubei,Shandong,No,9,NA,Yes,"0-1,000,000",CEHS,No
Fly,1950-1959,Male,Beijing,Heilongjiang,No,6,NA,Yes,NA,agriculture,No
Fly,1960-1969,Male,Jiangsu,Heilongjiang,No,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Shanxi,Heilongjiang,No,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1980-1989,Male,Shaanxi,Guangdong,No,7,Death sentence,Yes,"0-1,000,000",transport,No
Fly,1950-1959,Male,Guangdong,Guangxi,No,9,10-15 years imprisonment,Yes,"0-1,000,000",finance,No
Fly,1960-1969,Male,Fujian,Fujian,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,5,10-15 years imprisonment,Yes,NA,CEHS,No
Fly,1950-1959,Male,Gansu,Xinjiang,No,6,NA,Yes,"0-1,000,000",real estate,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Yunnan,Yunnan,Yes,6,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Gansu,Shaanxi,No,9,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hunan,Hunan,Yes,7,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hunan,Hunan,Yes,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1940-1949,Male,Anhui,Jilin,No,7,NA,Yes,NA,technology,No
Fly,1950-1959,Male,Hubei,Hubei,Yes,6,NA,Yes,"0-1,000,000",social service,No
Tiger,1950-1959,Male,Henan,Henan,Yes,5,NA,Yes,NA,CEHS,Yes
Fly,1970-1979,Male,Hunan,Beijing,No,9,5-10 years imprisonment,Yes,"0-1,000,000",CEHS,No
Fly,1950-1959,Male,Shandong,Guangdong,No,7,NA,Yes,NA,energy,No
Fly,1960-1969,Male,Inner Mongolia,Inner Mongolia,Yes,5,NA,Yes,"0-1,000,000",agriculture,No
Fly,1950-1959,Male,Anhui,Shandong,No,9,10-15 years imprisonment,Yes,NA,real estate,No
Fly,1950-1959,Male,Shandong,Xinjiang,No,6,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Jiangsu,Hainan,No,7,NA,Yes,"0-1,000,000",CEHS,No
Fly,1970-1979,Male,Shandong,Shandong,Yes,6,10-15 years imprisonment,Yes,"0-1,000,000",CEHS,No
Fly,1940-1949,Male,Guizhou,Hainan,No,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Gansu,Xinjiang,No,5,NA,Yes,"0-1,000,000",social service,No
Fly,1940-1949,Male,Ningxia,Ningxia,Yes,6,NA,Yes,"0-1,000,000",finance,No
Fly,1960-1969,Male,Jilin,Beijing,No,7,NA,Yes,NA,CEHS,No
Fly,1960-1969,Male,Zhejiang,Zhejiang,Yes,8,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Jiangsu,Jiangsu,Yes,6,NA,Yes,"0-1,000,000",CEHS,No
Fly,1940-1949,Male,Chongqing,Henan,No,9,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Guangdong,Beijing,No,7,10-15 years imprisonment,Yes,NA,finance,No
Fly,1960-1969,Male,Hunan,Liaoning,No,7,NA,Yes,NA,social service,No
Fly,1950-1959,Male,Shandong,Guangxi,No,5,NA,Yes,NA,mining,No
Fly,1960-1969,Male,Shandong,Guangdong,No,9,NA,Yes,NA,mining,No
Fly,1960-1969,Male,Hunan,Guangxi,No,6,NA,Yes,"0-1,000,000",manufacturing,No
Fly,1940-1949,Male,Sichuan,Guangdong,No,5,10-15 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,5-10 years imprisonment,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Tibet,Beijing,No,5,10-15 years imprisonment,Yes,NA,mining,No
Fly,1960-1969,Male,Tianjin,Hebei,No,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Zhejiang,Zhejiang,Yes,6,NA,Yes,"0-1,000,000",technology,No
Fly,1960-1969,Male,Jiangsu,Fujian,No,7,NA,Yes,"0-1,000,000",social service,No
Fly,1970-1979,Male,Henan,Inner Mongolia,No,7,NA,Yes,NA,finance,No
Tiger,1950-1959,Male,Henan,Henan,Yes,4,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Jiangsu,Jiangsu,Yes,5,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Sichuan,Sichuan,Yes,6,NA,Yes,NA,social service,No
Fly,1940-1949,Male,Shanxi,Hubei,No,7,NA,Yes,"0-1,000,000",social service,No
Fly,1950-1959,Male,Jiangsu,Jiangsu,Yes,6,NA,Yes,"0-1,000,000",social service,No
Tiger,1960-1969,Male,Shanxi,Shanxi,Yes,4,NA,Yes,"0-1,000,000",social service,Yes
Fly,1960-1969,Male,Shandong,Shaanxi,No,6,NA,Yes,"0-1,000,000",mining,No
Fly,1950-1959,Male,Hubei,Guangdong,No,5,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1970-1979,Female,Shanghai,Gansu,No,9,10-15 years imprisonment,Yes,NA,infrastructure,No
Fly,1960-1969,Male,Hainan,Liaoning,No,6,NA,Yes,NA,CEHS,No
Fly,1940-1949,Male,Jiangxi,Hainan,No,7,NA,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1950-1959,Male,Hubei,Fujian,No,5,10-15 years imprisonment,Yes,"1,000,000-10,000,000",technology,No
Fly,1960-1969,Female,Guangdong,Liaoning,No,7,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Shandong,Jilin,No,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1950-1959,Male,Chongqing,Chongqing,Yes,5,NA,Yes,"1,000,000-10,000,000",CEHS,No
Tiger,1960-1969,Male,Shanxi,Beijing,No,5,NA,Yes,NA,finance,No
Fly,1950-1959,Female,Hubei,Hubei,Yes,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Guangxi,Guangxi,Yes,6,NA,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1960-1969,Male,Xinjiang,Xinjiang,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Shandong,Fujian,No,9,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Jiangsu,Jiangsu,Yes,6,10-15 years imprisonment,Yes,NA,technology,No
Fly,1940-1949,Male,Shandong,Fujian,No,6,NA,Yes,NA,finance,No
Fly,1970-1979,Male,Jiangsu,Henan,No,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Henan,Henan,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Hebei,Hebei,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Tiger,1960-1969,Male,Hebei,Beijing,No,4,NA,Yes,"1,000,000-10,000,000",social service,Yes
Fly,1940-1949,Male,Xinjiang,Yunnan,No,7,1-5 years imprisonment,Yes,"1,000,000-10,000,000",mining,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,8,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,6,NA,Yes,"1,000,000-10,000,000",transport,No
Fly,1960-1969,Male,Hainan,Hainan,Yes,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1950-1959,Male,Shaanxi,Shaanxi,Yes,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Ningxia,Ningxia,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1970-1979,Male,Guangdong,Hebei,No,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Zhejiang,Zhejiang,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Zhejiang,Zhejiang,Yes,9,NA,Yes,NA,social service,No
Fly,1950-1959,Male,Zhejiang,Zhejiang,Yes,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Female,Guangdong,Guangdong,Yes,9,10-15 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Guangxi,Guangxi,Yes,10,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Henan,Hubei,No,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Hubei,Hubei,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1970-1979,Male,Jiangsu,Hainan,No,8,10-15 years imprisonment,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1960-1969,Male,Zhejiang,Shanghai,No,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Female,Shanghai,Shanghai,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Guangxi,Sichuan,No,7,NA,Yes,"1,000,000-10,000,000",finance,No
Fly,1950-1959,Male,Shandong,Shandong,Yes,5,NA,Yes,"1,000,000-10,000,000",social service,No
Tiger,1960-1969,Male,Sichuan,Beijing,No,4,10-15 years imprisonment,Yes,NA,social service,Yes
Fly,1960-1969,Female,Zhejiang,Ningxia,No,6,5-10 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Shanxi,Hubei,No,5,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Shandong,Guangdong,No,10,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Jiangxi,Guangdong,No,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Hebei,Hebei,Yes,8,NA,Yes,NA,social service,No
Fly,1950-1969,Male,Yunnan,Gansu,No,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Anhui,Anhui,Yes,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Guizhou,Guizhou,Yes,7,NA,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1950-1969,Male,Anhui,Guangdong,No,9,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1980-1989,Male,Fujian,Guizhou,No,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Anhui,Anhui,Yes,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1940-1949,Male,Shanxi,Anhui,No,6,5-10 years imprisonment,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1970-1979,Male,Hebei,Hunan,No,5,5-10 years imprisonment,Yes,"1,000,000-10,000,000",social service,No
Fly,1960-1969,Male,Gansu,Shaanxi,No,6,NA,Yes,"1,000,000-10,000,000",social service,No
Fly,1950-1959,Male,Hubei,Hubei,Yes,5,NA,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1960-1969,Male,Guangdong,Henan,No,5,NA,Yes,NA,finance,No
Fly,1970-1979,Male,Jilin,Beijing,No,5,NA,Yes,NA,social service,Yes
Fly,1950-1959,Male,Shanxi,Shanxi,Yes,6,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Shanxi,Shanxi,Yes,5,10-15 years imprisonment,Yes,NA,mining,No
Fly,1970-1979,Male,Guizhou,Shanxi,No,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1950-1959,Male,Anhui,Anhui,Yes,5,10-15 years imprisonment,Yes,NA,social service,No
Fly,1940-1949,Male,Shandong,Fujian,No,6,10-15 years imprisonment,Yes,"1,000,000-10,000,000",CEHS,No
Fly,1950-1959,Male,Anhui,Anhui,Yes,7,10-15 years imprisonment,Yes,"1,000,000-10,000,000",technology,Yes
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,5,NA,Yes,NA,social service,No
Fly,1960-1969,Male,Guangxi,Guizhou,No,7,10-15 years imprisonment,Yes,NA,social service,No
Fly,1960-1969,Male,Hubei,Hubei,Yes,6,NA,Yes,NA,technology,No
Fly,1950-1959,Male,Henan,Henan,Yes,5,10-15 years imprisonment,Yes,NA,infrastructure,No
Fly,1980-1989,Male,Sichuan,Sichuan,Yes,6,NA,Yes,NA,technology,No
Fly,1970-1979,Male,Beijing,Zhejiang,No,7,NA,Yes,NA,transport,No
